text,true_label_id,pred_label_id,true_emotion,pred_emotion
i got gb for usegreat from pickabootnx,0,0,Happy,Happy
product quality is awesomeits very work fullyou can buy it,1,1,Love,Love
alhamdulillah thanks for the gifts,0,0,Happy,Happy
product quality is good its my th order of potato weight is ok,0,0,Happy,Happy
product th overall valoi chilouse kore o valo e lgloskin th onk th soft hoye jai product er amount th o jotestoprice onujai product th onk valo chilo ar quality o valoi overall nice product,0,0,Happy,Happy
valo alo disse but month r moddhei sesh nosto hoe gese,2,2,Sadness,Sadness
best shampoo in reasonable price,1,1,Love,Love
good product recommended,0,0,Happy,Happy
the product seems good but outside dhaka no installation and no idea about the warrenty policy,0,2,Happy,Sadness
onk sundor satisfied recommended,2,1,Sadness,Love
cards are small but good if you consider price,0,0,Happy,Happy
kajer jinish recommended,0,0,Happy,Happy
although they showed me different colors when i placed my order the one i picked was not available when they were preparing my order and i had to settle for whatever they offered i didnt like the color much the delivery men asked for more money when delivered at my doorsteps even though they charged bdt as delivery charge,2,2,Sadness,Sadness
fabric built quality aro valo hole khusi hotam,0,0,Happy,Happy
thank you seller the product was good,1,0,Love,Happy
its good very handy got the guaranty card too,1,0,Love,Happy
orginal products tai peyeci use korteci then allah vhorosa,1,0,Love,Happy
good one recomendedthanksnto daraz and seller,1,0,Love,Happy
i love this product really good,0,1,Happy,Love
very gd product,1,1,Love,Love
for such money excellent headphones,1,1,Love,Love
excellent product thanks darazand appreciate for your quick delivery,0,1,Happy,Love
very good recommended,1,1,Love,Love
original product very nice with discounted price happy shopping,1,0,Love,Happy
nice quality but the handle wasnt that much strong,0,2,Happy,Sadness
did not get the product,4,2,Anger,Sadness
thanks seller very good quality dates,0,0,Happy,Happy
alhamdulillah valo product reviewed after using month,0,0,Happy,Happy
very good product,1,1,Love,Love
products quality motamoty vlo,0,1,Happy,Love
khub e valo quality aj k delivery er jono ami store malik k onakh kore request korecilam many many thanks for fast delivery,1,0,Love,Happy
thanks,1,0,Love,Happy
original product received with a gift good experience,0,0,Happy,Happy
good product,1,0,Love,Happy
overall quality bhalowarranty card deya hoice seller response o bhalo chilo,0,0,Happy,Happy
good product,0,0,Happy,Happy
awesome satisfied with the purchasevery recommended seller,0,1,Happy,Love
best product today i got my one its awesome,1,1,Love,Love
best maskara this was my first purchase of pinkflash brandi just love it,0,1,Happy,Love
shipment from china but received within a week nice new year gift thank you,0,0,Happy,Happy
the service of pickaboo is good and the product was delivered in time overall satisfied,0,0,Happy,Happy
just got yesterday before buying that i had no idea about mixer grinder after finding it on pickaboo i have decided to buy it rather than from showroom where it will cost around also the after sales service of pickaboo was on my mind while ordering till now this mixer grinder is excellent delivered in just days as promised got warranty card inside the box and was received in good condition hope it will give service for long time and pickaboo will continue its reputation really loved it i will recommend peope,0,0,Happy,Happy
thanks pickaboo so first delivery also redx i got intact pack everything is okay pickaboo is one of the authentic and trusted online shop,1,0,Love,Happy
product received bought it to make an external hdd its working thanks seller,0,0,Happy,Happy
still now it is good thank you daraz,0,0,Happy,Happy
original product very good,1,1,Love,Love
good product and first delivery service thanks to daraz,0,0,Happy,Happy
excellent service from the seller the product is also great,1,1,Love,Love
good quality,0,0,Happy,Happy
onk vlo product delivery man er behaviour o onk blo,1,1,Love,Love
thankyou,0,0,Happy,Happy
what a beautiful watch and there packaging ita just awesome,1,1,Love,Love
its ok,0,0,Happy,Happy
very good products and higly satisfied with the services both by daraz and the saler thanks a lot,1,1,Love,Love
i recommend extra foam for speakers charges fast comfortable great sound quality very happy customer thankyou arrived safely in bubbled packaging and on time,0,0,Happy,Happy
good product quick delivery a little delay in imposing emi but that was because email came to junk folder,0,0,Happy,Happy
thanks,0,0,Happy,Happy
good products thanks to the seller for your cordial service,0,0,Happy,Happy
really good sensitivity is perfect and is really smooth it has only error rate,1,0,Love,Happy
packaging was not satisfactory there was dust on the iron,0,2,Happy,Sadness
price should be less,2,2,Sadness,Sadness
i am totally satisfied brush quality is very good recomending this prosuct who will buy this surely you wont be cheated thanks daraz and seller,0,0,Happy,Happy
received in good condition,0,0,Happy,Happy
so much satisfied,0,1,Happy,Love
recommended authentic product,0,0,Happy,Happy
top notch product,1,1,Love,Love
unofficial phone dhorai dise please dont buy from daraz,4,2,Anger,Sadness
thankssame as picture,0,1,Happy,Love
purchasing this product was a real investment for my home it has lasted me years and still going,0,0,Happy,Happy
thank you selar and daraz i love it excelent,1,1,Love,Love
nice product as i expected didnt use though but hopes that it will work fine,0,0,Happy,Happy
thanks for your product alhamdulillah got it safely and got the exact product thanks for your qualityful service best of luck for this organizations,0,0,Happy,Happy
quality onek valo packaging onak valo delevery service taw valo thank you seller,1,0,Love,Happy
tshirt khub valo siloapnara chaile nite paren,0,0,Happy,Happy
working pretty well recommended,0,0,Happy,Happy
good quality,0,0,Happy,Happy
good product,0,0,Happy,Happy
product well received thanks to rider,0,0,Happy,Happy
very poor packaging at least you should provide a box for this without box how can i gift this to someone now,2,2,Sadness,Sadness
the product quality was very good the packaging and delivery time was satisfactory i will recommend buying from pickaboo for a discount price,0,0,Happy,Happy
good product as like picture,0,0,Happy,Happy
highly recommended its a great product to buy,0,1,Happy,Love
valo kintu order korci white dice black good,0,0,Happy,Happy
good product sound quality rich durable budget friendly good earphone,0,0,Happy,Happy
book quality is fair for the price especially the card cover is quite sturdy books were buble poly wraped happy with the puchase,0,0,Happy,Happy
original product with box,1,1,Love,Love
good designs but quality not worth the price,2,2,Sadness,Sadness
ata moteo original product nhhhhh nokol ponno daoya hoyese,4,0,Anger,Happy
chobi te jemon temon tai diyecen donnobad seller vai ke also thanks daraz im satisfied really premium quality product,0,0,Happy,Happy
product was good but adhesive was missing,2,2,Sadness,Sadness
product is good in this price delivery was fast next day received the product,0,0,Happy,Happy
got the product on time but the product is little bit broken dont expect this how will i get year replacement warranty,0,2,Happy,Sadness
i dont think explanation is necessary thank you sellerdaraz,0,0,Happy,Happy
products valo cilo but dam besi lagtece akhon,1,0,Love,Happy
onek sundor hoyece ami cartoon tah customize kore niyecilm amr pocondo moto mashallah jemon cheyechi tmn e peyeci ami msg diye kon stickers tah hobe bole diyecilmapu tah temon vbei kore diyeciim so much happy satisfied,0,0,Happy,Happy
sound khub ekta besi na order dici orange colour r seller amke pathaice black colour,2,2,Sadness,Sadness
very good product recomended,1,1,Love,Love
good product recommend,1,0,Love,Happy
a triple antenna dualband router in this price range is uncommon so far im getting a fast and reliable wifi connection in my sqt flat it remains to be seen now how long this service will last,0,0,Happy,Happy
got same model as picture but remote doesnt match didnt get the warranty card as well seller sent this product in time but daraz made the delay it was laying down in darazs ware house for days delivery man was good though,0,0,Happy,Happy
dont like the ai of front camerasomehow over rated,1,2,Love,Sadness
the notebook is so beautiful i like it,0,1,Happy,Love
this is cool okay for me,0,0,Happy,Happy
excellent product fit is good superb lens quality perfect for daytime driving,1,1,Love,Love
excellent sound quality hope it will run for a long time,1,1,Love,Love
good product,0,0,Happy,Happy
no one will order this product i ordered that the product gave another product,4,2,Anger,Sadness
this product is original i want to buy it againif this is available my aspect is full feel thank you daraz seller,0,0,Happy,Happy
good filteroverall service has been good till now using this for days and the water taste is very good thanks seller for providing a good product,0,0,Happy,Happy
good prodect,0,0,Happy,Happy
good product,0,0,Happy,Happy
not bad but price ta ekto besi pore geche,2,0,Sadness,Happy
i dont get the same car like pictures,2,2,Sadness,Sadness
good feedback from seller,0,0,Happy,Happy
